Fecha,Mes,Precipitación
8,junio,0.47
9,junio,0.85
10,junio,0.47
12,junio,0.25
13,junio,0.35
15,junio,0.15
17,junio,0.85
19,junio,0.18
20,junio,0.8
21,junio,0.96
26,junio,0.28
27,junio,0.29
2,julio,0.52
3,julio,1.01
13,julio,0.13
18,julio,0.19
19,julio,0.38
23,julio,0.36
26,julio,0.48
27,julio,0.45
28,julio,0.49
2,agosto,0.6
3,agosto,0.51
4,agosto,0.33
5,agosto,0.37
7,agosto,0.55
8,agosto,0.39
10,agosto,0.11
11,agosto,0.23
12,agosto,1.13
16,agosto,0.28
21,agosto,2.32
23,agosto,0.47
25,agosto,2.08
27,agosto,0.61
31,agosto,0.54
1,septiembre,0.58
2,septiembre,1
7,septiembre,0.27
9,septiembre,0.71
10,septiembre,2.2
11,septiembre,1.47
12,septiembre,0.27
13,septiembre,0.27
